sample_code_x,detection_items,department,order_date,order_num,report_date,conclusion,receive_date,sample_code_format,infer_receive_date,create_time,sample_date,random_num_x,event_flight,id,Unnamed: 0,date,code,gene_name,file_name,path,sample_code_y,random_num_y,data_num
ZBAD2021-30,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.04.03,SEQ2021040680505,2021.04.06,,2021.04.06,ZBAD2021-30,2021-04-06,2021.04.06,2021.04.06,80505,NS8018,1900,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
ZBAD2021-30,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.04.03,SEQ2021040680505,2021.04.06,,2021.04.06,ZBAD2021-30,2021-04-06,2021.04.06,2021.04.06,80505,NS8018,1900,1591,20200905,NS,COI-1,NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,NS8018,74107,NSCOI-12020090574107
ZBAD2021-45,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.04.16,SEQ2021041959153,2021.04.19,,2021.04.19,ZBAD2021-45,2021-04-19,2021.04.19,2021.04.19,59153,NS8018,1923,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
ZBAD2021-45,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.04.16,SEQ2021041959153,2021.04.19,,2021.04.19,ZBAD2021-45,2021-04-19,2021.04.19,2021.04.19,59153,NS8018,1923,1591,20200905,NS,COI-1,NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,NS8018,74107,NSCOI-12020090574107
ZBAD2021-99,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.05.07,SEQ2021050927806,2021.05.09,,2021.05.09,ZBAD2021-99,2021-05-09,2021.05.09,2021.05.09,27806,NS8018,2000,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
ZBAD2021-99,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.05.07,SEQ2021050927806,2021.05.09,,2021.05.09,ZBAD2021-99,2021-05-09,2021.05.09,2021.05.09,27806,NS8018,2000,1591,20200905,NS,COI-1,NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,NS8018,74107,NSCOI-12020090574107
ZBAD2020-18,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052191308,2020.05.21,,2020.05.21,ZBAD2020-18,2020-05-21,2020.05.21,2020.05.21,91308,KN5776,1055,1878,20200910,KN,cytb,KN5776_L14995-H16065_C2843.L14995.PW009170298.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/cytb/良好/KN5776_L14995-H16065_C2843.L14995.PW009170298.seq,KN5776,99277,KNcytb2020091099277
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,259,20200825,KN,COI-1,KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,KN5228,49041,KNCOI-12020082549041
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,277,20200825,KN,cytb,KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,KN5228,53627,KNcytb2020082553627
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,611,20200526,KN,cytb,KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,bird_strike/20200526北京大兴机场10个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,KN5228,10682,KNcytb2020052610682
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,1554,20200905,KN,cytb,KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,KN5228,16178,KNcytb2020090516178
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,1606,20200905,KN,COI-1,KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,KN5228,60051,KNCOI-12020090560051
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,1880,20200910,KN,cytb,KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,KN5228,97134,KNcytb2020091097134
ZBAD2020-20,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052128263,2020.05.21,,2020.05.21,ZBAD2020-20,2020-05-21,2020.05.21,2020.05.21,28263,KN5228,1057,1898,20200910,KN,COI-1,KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,KN5228,23948,KNCOI-12020091023948
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,259,20200825,KN,COI-1,KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,KN5228,49041,KNCOI-12020082549041
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,277,20200825,KN,cytb,KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,KN5228,53627,KNcytb2020082553627
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,611,20200526,KN,cytb,KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,bird_strike/20200526北京大兴机场10个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,KN5228,10682,KNcytb2020052610682
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,1554,20200905,KN,cytb,KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,KN5228,16178,KNcytb2020090516178
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,1606,20200905,KN,COI-1,KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,KN5228,60051,KNCOI-12020090560051
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,1880,20200910,KN,cytb,KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,KN5228,97134,KNcytb2020091097134
KN5228,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.26,SEQ2020060199276,2020.06.01,,2020.06.01,KN5228,2020-06-01,2020.06.01,2020.06.01,99276,KN5228,1106,1898,20200910,KN,COI-1,KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,KN5228,23948,KNCOI-12020091023948
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,259,20200825,KN,COI-1,KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,KN5228,49041,KNCOI-12020082549041
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,277,20200825,KN,cytb,KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/KN5228_L14995-H16065_C2790.L14995.PW009030757.seq,KN5228,53627,KNcytb2020082553627
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,611,20200526,KN,cytb,KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,bird_strike/20200526北京大兴机场10个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2368.L14995.PW006030164.seq,KN5228,10682,KNcytb2020052610682
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,1554,20200905,KN,cytb,KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2842.L14995.PW009170210.seq,KN5228,16178,KNcytb2020090516178
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,1606,20200905,KN,COI-1,KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2842.COI-1-bird-F.PW009170146.seq,KN5228,60051,KNCOI-12020090560051
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,1880,20200910,KN,cytb,KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/cytb/良好/KN5228_L14995-H16065_C2843.L14995.PW009170274.seq,KN5228,97134,KNcytb2020091097134
ZBAD2020-256,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.2,SEQ2020092373130,2020.09.23,,2020.09.23,ZBAD2020-256,2020-09-23,2020.09.23,2020.09.23,73130,KN5228,1521,1898,20200910,KN,COI-1,KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,bird_strike/20200910北京大兴机场48个&常州机场2个样品结果/测序结果/COI-1/良好/KN5228_COI-1_C2843.COI-1-bird-F.PW009170231.seq,KN5228,23948,KNCOI-12020091023948
ZBAD2020-381,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.10.13,SEQ2020101516737,2020.10.15,,2020.10.15,ZBAD2020-381,2020-10-15,2020.10.15,2020.10.15,16737,KN5228,1681,259,20200825,KN,COI-1,KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5228_COI-1_C2790.COI-1-bird-F.PW009030659.seq,KN5228,49041,KNCOI-12020082549041
